pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,854.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,872.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,893.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,901.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,891.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,873.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,860.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,864.5
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,883.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,903.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,911.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,902.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,884.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,871.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,875.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,894.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,914.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,922.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,913.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,895.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,883.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,887.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,905.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,926.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,934.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,925.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,907.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,895.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,899.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,918.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,939.1
