delivery,count,mean,median,std
Lexington,1197,1825.9326984126983,1391.98,1244.4506803491215
Fort Wayne,1176,1981.8834948979593,1700.17,1205.3257752913662
Baton Rouge,1167,2109.520059982862,1939.01,1110.0178341894364
Bakersfield,1156,3532.1988927335638,3742.535,1622.4265353473766
Hartford,1143,2686.9953718285215,2248.05,1773.5338647368676
Oklahoma City,1140,2332.6837017543858,2224.92,1209.968571174478
Richmond,1109,2231.707448151488,1691.98,1500.9195504073548
Atlanta,1096,1796.1784489051095,1475.73,1242.5633022344873
Phoenix,1090,3751.473110091743,3921.98,1828.6491625158792
Mobile,1089,1957.161349862259,1769.32,1171.9868589974842
Cincinnati,1084,1743.2549723247232,1401.65,1209.2183326830852
Columbia,1071,1905.366909430439,1523.87,1335.2898057992056
Nashville,1064,1777.2443796992482,1512.99,1291.9534059971836
Tucson,997,3363.1897893681044,3591.79,1470.9795887862483
Shreveport,983,2061.1617802644964,1799.01,1221.4577958144903
Kansas City,980,1869.4055204081633,1743.095,951.9301335259024
San Antonio,965,2342.243886010363,2345.01,1018.5690578076484
Philadelphia,959,2522.0362565172054,2077.58,1752.3589361449071
Los Angeles,955,3742.250931937173,4046.09,1538.0143381792436
Syracuse,926,2469.81192224622,1927.73,1730.0126571967457
Memphis,912,1830.0977192982457,1554.51,1224.3212743362656
Montgomery,903,1943.5976522702103,1762.2,1166.6235089057263
Grand Rapids,894,2002.3783109619687,1782.99,1145.0330998105499
Milwaukee,859,1776.723958090803,1537.19,1107.4728416243886
Charleston,851,2110.727696827262,1605.32,1492.374034247166
Amarillo,850,2651.6136117647056,2557.745,1112.7823783634628
New York,833,2510.911860744298,2095.89,1557.922941549893
Albany,812,2967.7299014778328,2559.395,1600.673212917584
Greensboro,804,1911.9939427860697,1460.4850000000001,1305.8136803149353
El Paso,769,3008.9797789336803,3089.55,1286.5842680557996
Fresno,763,3865.377155963303,4140.17,1870.4086633364795
Lubbock,754,2479.42075596817,2398.3450000000003,1267.9561836045943
Buffalo,753,2306.2546746347944,1724.06,1517.7206774351762
Jacksonville,746,2127.2926139410188,1769.6100000000001,1405.5092587837028
Houston,718,2148.039582172702,2056.165,1086.7827048480613
Toledo,710,2025.9351267605632,1681.42,1255.5081179649117
Chattanooga,708,1764.6372740112993,1487.9450000000002,1076.8555897081883
Green Bay,660,2176.208772727273,2010.835,1032.485223023811
Raleigh,656,2222.071448170732,1653.185,1594.4822315974193
Reno,653,3679.871638591118,3783.88,1478.6096796128124
Tulsa,647,1935.6338485316849,1781.06,934.7155237963458
Dayton,622,1828.947652733119,1503.695,1212.6862753765251
Boston,619,2998.4093699515347,2570.38,1653.9838132030277
Corpus Christi,593,2337.2376728499157,2352.63,968.3436420020138
Albuquerque,572,2962.7097202797204,2931.23,1347.6253241542508
Tampa,553,2275.4350994575047,2037.74,1098.0499880044438
Indianapolis,553,1786.0637974683546,1546.1,1146.7535095989815
Harrisburg,540,2264.5835370370373,1694.9250000000002,1472.5492714499444
Savannah,528,2009.4830303030303,1597.4499999999998,1359.7123861076766
Baltimore,488,2699.1513934426225,2218.39,1945.766400009375
Little Rock,471,2006.42042462845,1756.55,1147.137764734022
San Francisco,467,4064.472997858672,4356.6,1458.0613419540562
Madison,457,1996.6347702407002,1879.91,1040.7472835124768
Austin,441,2338.2650793650796,2347.12,1023.4891079149328
Providence,415,2940.1960481927713,2522.54,1557.4213253968148
Salt Lake City,406,3164.35078817734,3316.0600000000004,1472.7514095587894
New Orleans,373,1912.3008310991956,1688.33,970.6453691895645
Louisville,367,1781.0184741144415,1493.03,1138.69926232693
Washington,366,2240.3285519125684,1698.75,1482.8942955322223
St. Louis,344,1796.766046511628,1610.0,1049.951976417291
Birmingham,318,1818.2556603773587,1592.4,1173.432256343132
Detroit,307,2125.831140065147,1753.29,1373.520234481364
Dallas,306,1987.3363071895426,1823.21,1040.9519707736117
Las Vegas,292,3428.3752739726024,3707.765,1531.3405653368927
