pickup,count,mean,median,std
Oklahoma City,1242,2219.0750966183573,2138.895,1078.3250086195617
Lexington,1209,1824.1402729528534,1374.59,1367.9708817532185
Bakersfield,1193,3519.3654484492877,3804.88,1665.3921481101381
Fort Wayne,1170,1996.9604615384617,1711.435,1185.7989993086062
Hartford,1150,2671.385408695652,2228.705,1654.830617334706
Richmond,1140,2288.463087719298,1746.6950000000002,1529.4907159737215
Nashville,1124,1761.9692259786475,1435.715,1167.9212489392419
Phoenix,1121,3764.774763603925,3935.62,1791.9303073430158
Baton Rouge,1115,2105.062403587444,1902.94,1138.6000242852947
Mobile,1094,1949.7951279707497,1669.6750000000002,1280.0631732361207
Cincinnati,1080,1775.1671851851852,1436.255,1147.2373644807928
Shreveport,1062,1935.9040866290018,1744.22,975.6373617359781
Kansas City,1053,1903.4727445394112,1740.57,1021.9140246711331
Columbia,1049,1940.0826310772163,1561.4,1368.275604691062
Atlanta,1029,1788.589504373178,1411.05,1463.680850054143
San Antonio,972,2390.510637860082,2341.29,1005.1148571784773
Philadelphia,946,2502.4239429175473,2081.895,1556.6907592822354
Los Angeles,945,3729.6383915343913,3996.61,1790.5478217679301
Milwaukee,944,1858.5488029661017,1594.225,1250.3058152468252
Tucson,944,3310.9962711864405,3535.995,1615.2605150735753
Syracuse,907,2410.286152149945,1969.92,1401.4627029023459
Montgomery,884,2075.7904977375565,1798.77,1376.2929860909194
Greensboro,865,1901.1819537572253,1459.42,1398.193990909443
Memphis,852,1753.7270305164318,1555.27,998.5800086772973
Charleston,848,2277.5138679245283,1750.36,1561.4304557072935
Grand Rapids,844,2025.8380805687204,1796.475,1207.9730290403168
Amarillo,836,2603.8075358851675,2502.75,996.0103543196751
Fresno,827,3878.91,4160.28,1561.467405118796
New York,816,2519.592781862745,2093.0299999999997,1535.4745168339207
Albany,811,2983.3278791615294,2542.36,1636.1333938559405
Lubbock,796,2436.7849120603014,2413.44,983.2514218299837
El Paso,768,3110.560078125,3111.6099999999997,1471.733376075201
Chattanooga,745,1722.937087248322,1444.58,1166.3784037516061
Toledo,745,2015.1444832214763,1688.91,1263.2940580535771
Buffalo,738,2175.7028861788617,1635.555,1399.5106332102637
Houston,723,2085.434937759336,1924.78,1064.3600107893067
Jacksonville,666,2100.73033033033,1821.925,1347.2608314884872
Green Bay,662,2238.05581570997,2047.105,1179.7344750437796
Reno,642,3765.391199376947,3836.925,1559.9512377338258
Tulsa,633,2007.8183254344392,1896.46,965.0107010971444
Raleigh,607,2205.3357001647446,1621.68,1408.3741846754347
Boston,603,2953.6446766169156,2486.75,1859.4748032968976
Corpus Christi,596,2330.312852348993,2288.915,1089.7448786160153
Albuquerque,581,2871.875438898451,2899.76,1345.2650789887366
Harrisburg,574,2181.892700348432,1573.53,1447.3014490023556
Dayton,543,1814.6207550644567,1541.54,1137.8852277213211
Tampa,542,2185.8016789667895,1958.4850000000001,1077.1080515580538
Indianapolis,539,1763.4850649350649,1478.96,1151.033335452136
Madison,499,1952.6334669338678,1879.23,956.6605927281211
Savannah,488,2013.4783606557376,1613.63,1334.0689276057128
Baltimore,478,2740.6333682008367,2180.3,1927.1346133033305
Little Rock,457,1878.024113785558,1588.01,1070.5926926716338
San Francisco,453,4071.2071081677705,4301.81,1486.8065575442024
Providence,425,3134.0736235294116,2603.08,1795.5838939449147
Salt Lake City,394,3144.764111675127,3316.265,1310.3164037196675
Austin,393,2375.7837913486005,2328.57,1052.938045026589
New Orleans,385,1995.1217662337663,1794.23,1061.8061036335873
Birmingham,364,1852.7970054945054,1573.3600000000001,1158.1112851947414
Louisville,344,1792.7392732558142,1543.555,1119.0989006082611
Detroit,337,2130.416231454006,1815.99,1146.033103236824
Washington,337,2279.6852818991097,1679.9,1668.355894905897
St. Louis,318,1929.9807232704402,1735.7800000000002,1299.1214860457753
Las Vegas,277,3292.8219133574007,3633.06,1585.963271475691
Dallas,276,2143.424347826087,1907.03,1394.4302330741434
