feature,gain,gain_percent,split_count
distance,2507409.88597083,38.67440635,24770
delivery,613201.91100550,9.45805471,41314
log_distance,601103.70157647,9.27145137,5249
pickup,596587.52346110,9.20179363,40962
distance_x_weight,465605.98450565,7.18152830,21144
date_ordinal,350914.36723447,5.41251947,23267
equipment,311863.80880713,4.81020185,7631
weight,253478.93618035,3.90967087,29060
annual_cos,187692.40315402,2.89497633,15991
sqrt_distance,161603.39093661,2.49257820,831
annual_sin,148859.54328525,2.29601650,16219
day_of_year,78092.43657243,1.20450136,5707
weekday_cos,57983.13300383,0.89433453,3803
log_weight,55487.47078037,0.85584132,6566
weekday_sin,46127.58962679,0.71147408,4573
day_of_week,44165.37795734,0.68120884,5585
weight_was_negative,1698.24346256,0.02619379,252
weight_was_missing,1507.29074764,0.02324852,222
