feature_set,objective,target_transform,stage,num_leaves,learning_rate,min_child_samples,max_depth,subsample,colsample_bytree,cat_smooth,cat_l2,include_lane,best_iteration,august_mae,august_rmse,august_mape_percent,august_r2,elapsed_seconds
full,l1,raw,screen,127,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,1315,117.242035,617.972981,5.391084,0.824427,11.788411
full,l1,log,screen,127,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,4678,114.782189,616.906209,5.282305,0.825032,43.829037
full,l2,raw,screen,127,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,169,204.607402,670.900067,9.381972,0.793065,2.504645
full,l2,log,screen,127,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,187,143.035157,629.347808,6.442049,0.817904,3.147005
full,l1,log,leaf_lr_grid,63,0.010000,12,-1,1.000000,1.000000,10.000000,10.000000,False,4948,115.453101,616.351201,5.418823,0.825347,45.527960
full,l1,log,leaf_lr_grid,63,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,1532,114.907540,616.369833,5.372134,0.825337,195.016287
full,l1,log,leaf_lr_grid,63,0.030000,12,-1,1.000000,1.000000,10.000000,10.000000,False,2599,115.529978,616.753038,5.451088,0.825119,28.887945
full,l1,log,leaf_lr_grid,100,0.010000,12,-1,1.000000,1.000000,10.000000,10.000000,False,3702,115.615684,617.215364,5.334800,0.824857,46.122001
full,l1,log,leaf_lr_grid,100,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,4236,115.731392,616.723261,5.332214,0.825136,38.393853
full,l1,log,leaf_lr_grid,100,0.030000,12,-1,1.000000,1.000000,10.000000,10.000000,False,2162,117.691433,617.439079,5.410718,0.824730,20.579275
full,l1,log,leaf_lr_grid,127,0.010000,12,-1,1.000000,1.000000,10.000000,10.000000,False,5000,115.889900,617.469747,5.351960,0.824713,54.393604
full,l1,log,leaf_lr_grid,127,0.030000,12,-1,1.000000,1.000000,10.000000,10.000000,False,1173,116.564993,617.909246,5.330727,0.824463,14.764078
full,l1,log,leaf_lr_grid,150,0.010000,12,-1,1.000000,1.000000,10.000000,10.000000,False,4999,115.483377,617.251194,5.285959,0.824837,63.924021
full,l1,log,leaf_lr_grid,150,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,5000,116.822084,617.437285,5.389321,0.824731,61.898823
full,l1,log,leaf_lr_grid,150,0.030000,12,-1,1.000000,1.000000,10.000000,10.000000,False,4279,116.573180,617.510405,5.372554,0.824690,58.810598
full,l1,log,child_refine,127,0.020000,10,-1,1.000000,1.000000,10.000000,10.000000,False,3378,115.528961,616.976582,5.336390,0.824993,42.407990
full,l1,log,child_refine,127,0.020000,15,-1,1.000000,1.000000,10.000000,10.000000,False,3296,116.018852,617.471510,5.333007,0.824712,40.678675
full,l1,log,child_refine,127,0.020000,20,-1,1.000000,1.000000,10.000000,10.000000,False,4057,116.275917,618.075175,5.329758,0.824369,48.263047
full,l1,log,child_refine,63,0.020000,10,-1,1.000000,1.000000,10.000000,10.000000,False,2079,115.147633,616.597914,5.425390,0.825207,16.419537
full,l1,log,child_refine,63,0.020000,15,-1,1.000000,1.000000,10.000000,10.000000,False,3139,115.100392,616.052217,5.425829,0.825517,25.111293
full,l1,log,child_refine,63,0.020000,20,-1,1.000000,1.000000,10.000000,10.000000,False,4462,114.881925,616.791870,5.413566,0.825097,35.386456
full,l1,log,sampling_check,127,0.020000,12,-1,0.900000,1.000000,10.000000,10.000000,False,4980,115.013733,617.632557,5.278744,0.824620,59.812851
full,l1,log,sampling_check,127,0.020000,12,-1,1.000000,0.900000,10.000000,10.000000,False,3945,114.512909,616.467484,5.281518,0.825281,46.524248
full,l1,log,sampling_check,127,0.020000,12,-1,0.900000,0.900000,10.000000,10.000000,False,3556,113.347545,617.067968,5.232548,0.824941,40.817611
full,l1,log,sampling_check,127,0.020000,12,-1,0.800000,0.800000,10.000000,10.000000,False,2566,112.783655,616.538911,5.227612,0.825241,29.369765
