model,feature_set,selection_split,mae,rmse,mape_percent,tuned_parameters,r2
lightgbm_l1_raw_common,common,2025-09-01 to 2025-10-31,109.401526,634.326471,4.754475,"{""best_iteration"": 4296, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l1"", ""subsample"": 1.0, ""target_transform"": ""raw""}",0.827223
lightgbm_l1_log_common,common,2025-09-01 to 2025-10-31,109.764323,634.360134,4.753695,"{""best_iteration"": 4083, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 0.8, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 63, ""objective"": ""l1"", ""subsample"": 0.8, ""target_transform"": ""log""}",0.827204
lightgbm_l1_log_full,full,2025-09-01 to 2025-10-31,115.331360,636.656165,4.847106,"{""best_iteration"": 2566, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 0.8, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l1"", ""subsample"": 0.8, ""target_transform"": ""log""}",0.825951
engineered_ridge_full,full,2025-09-01 to 2025-10-31,116.886024,635.975879,5.542230,"{""alpha"": 1500.0}",0.826323
lightgbm_l1_raw_full,full,2025-09-01 to 2025-10-31,117.693679,637.543021,4.920630,"{""best_iteration"": 1315, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l1"", ""subsample"": 1.0, ""target_transform"": ""raw""}",0.825466
robust_huber_lane_full,full,2025-09-01 to 2025-10-31,134.285505,641.373675,5.847358,"{""alpha"": 10.0, ""delta"": 1.0, ""lane_smoothing"": 5.0}",0.823362
engineered_log_ridge_full,full,2025-09-01 to 2025-10-31,137.273980,641.520211,6.064560,"{""alpha"": 500.0}",0.823282
robust_huber_full,full,2025-09-01 to 2025-10-31,137.385184,643.027126,6.031585,"{""alpha"": 1.0, ""delta"": 1.0}",0.822450
lightgbm_l2_log_common,common,2025-09-01 to 2025-10-31,147.121959,646.080080,6.246912,"{""best_iteration"": 158, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l2"", ""subsample"": 1.0, ""target_transform"": ""log""}",0.820760
lightgbm_l2_log_full,full,2025-09-01 to 2025-10-31,154.260662,650.531305,6.255115,"{""best_iteration"": 187, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l2"", ""subsample"": 1.0, ""target_transform"": ""log""}",0.818282
lightgbm_l2_raw_common,common,2025-09-01 to 2025-10-31,154.676845,647.659895,6.649718,"{""best_iteration"": 268, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l2"", ""subsample"": 1.0, ""target_transform"": ""raw""}",0.819883
lightgbm_l2_raw_full,full,2025-09-01 to 2025-10-31,159.455729,646.953838,7.462109,"{""best_iteration"": 169, ""cat_l2"": 10.0, ""cat_smooth"": 10.0, ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 100, ""include_lane"": false, ""learning_rate"": 0.02, ""max_depth"": -1, ""max_estimators"": 5000, ""min_child_samples"": 12, ""num_leaves"": 127, ""objective"": ""l2"", ""subsample"": 1.0, ""target_transform"": ""raw""}",0.820275
robust_huber_lane_common,common,2025-09-01 to 2025-10-31,206.207513,657.297213,11.528958,"{""alpha"": 1.0, ""delta"": 1.0, ""lane_smoothing"": 5.0}",0.814483
robust_huber_common,common,2025-09-01 to 2025-10-31,207.939489,658.969819,11.624866,"{""alpha"": 0.1, ""delta"": 1.0}",0.813537
engineered_ridge_common,common,2025-09-01 to 2025-10-31,220.912584,663.607874,12.846091,"{""alpha"": 0.01}",0.810903
median_rate_per_mile,baseline,2025-09-01 to 2025-10-31,256.952939,684.247911,11.631462,{},0.798957
global_median,baseline,2025-09-01 to 2025-10-31,1148.923726,1569.424179,70.146282,{},-0.057650
